City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,katsuren-haebaru,26.3369,127.8719,23.43,46,0,6.69,JP,1707795497
1,uturoa,-16.7333,-151.4333,27.53,85,100,11.45,PF,1707795498
2,constantia,44.1833,28.65,4.38,83,100,2.65,RO,1707795498
3,tiksi,71.6872,128.8694,-32.22,100,100,1.29,RU,1707795499
4,anadyr,64.75,177.4833,-29.72,74,0,5.0,RU,1707795499
5,jasper,37.2001,-94.3502,3.64,78,0,2.57,US,1707795500
6,adamstown,-25.066,-130.1015,25.04,90,99,6.3,PN,1707795501
7,mossel bay,-34.1831,22.146,17.96,84,41,4.6,ZA,1707795501
8,bethel,41.3712,-73.414,3.2,73,20,0.0,US,1707795287
9,pangai,-19.8,-174.35,29.06,84,75,4.12,TO,1707795502
10,avarua,-21.2078,-159.775,29.03,65,20,3.09,CK,1707795503
11,hermanus,-34.4187,19.2345,21.0,85,88,2.39,ZA,1707795503
12,tanguieta,10.6212,1.2665,24.67,15,85,1.87,BJ,1707795504
13,ust-nera,64.5667,143.2,-33.81,95,91,0.96,RU,1707795504
14,puerto natales,-51.7236,-72.4875,6.65,88,100,2.41,CL,1707795505
15,thompson,55.7435,-97.8558,-8.91,86,100,2.06,CA,1707795505
16,springs,-26.25,28.4,18.15,96,0,0.48,ZA,1707795266
17,grytviken,-54.2811,-36.5092,4.52,93,100,3.36,GS,1707795507
18,la ciotat,43.1748,5.6045,9.34,77,33,6.1,FR,1707795508
19,tuensang,26.2833,94.8333,20.44,33,5,1.03,IN,1707795508
20,kodiak,57.79,-152.4072,5.73,75,100,6.17,US,1707795509
21,lae,-6.7221,146.9847,36.37,68,93,4.33,PG,1707795509
22,longyearbyen,78.2186,15.6401,-11.09,79,0,0.51,SJ,1707795510
23,punta arenas,-53.15,-70.9167,12.06,54,100,8.75,CL,1707795362
24,nemuro,43.3236,145.575,2.61,77,4,7.12,JP,1707795511
25,st. john's,47.5649,-52.7093,0.99,93,100,5.14,CA,1707795512
26,mercedes,-34.6515,-59.4307,16.59,69,32,5.09,AR,1707795227
27,katsuura,35.1333,140.3,15.01,60,3,12.03,JP,1707795513
28,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,72,20,3.13,RU,1707795513
29,fale old settlement,-9.3852,-171.2468,27.51,86,100,10.64,TK,1707795514
30,edinburgh of the seven seas,-37.0676,-12.3116,17.48,75,94,6.2,SH,1707795514
31,hawaiian paradise park,19.5933,-154.9731,23.82,80,100,1.54,US,1707795515
32,cockburn town,21.4612,-71.1419,25.27,76,0,8.81,TC,1707795515
33,waitangi,-43.9535,-176.5597,17.12,78,41,2.24,NZ,1707795516
34,ushuaia,-54.8,-68.3,8.81,71,0,1.54,AR,1707795517
35,invercargill,-46.4,168.35,23.39,42,45,3.61,NZ,1707795517
36,manokwari,-0.8667,134.0833,28.74,70,90,3.82,ID,1707795518
37,port-aux-francais,-49.35,70.2167,7.27,93,100,13.3,TF,1707795518
38,broome,42.2506,-75.833,-0.21,88,0,1.54,US,1707795519
39,tyukhtet,56.5389,89.3011,-17.07,89,100,5.56,RU,1707795519
40,utrik,11.2278,169.8474,26.08,70,100,9.65,MH,1707795520
41,korla,41.7597,86.1469,3.06,59,100,0.76,CN,1707795521
42,aswan,24.0934,32.907,14.61,28,0,1.03,EG,1707795521
43,margaret river,-33.95,115.0667,23.86,38,0,6.07,AU,1707795393
44,bamboo flat,11.7,92.7167,29.05,74,20,4.12,IN,1707795522
45,stanley,54.868,-1.6985,3.77,85,40,7.2,GB,1707795523
46,axim,4.8699,-2.2405,26.7,90,24,1.47,GH,1707795523
47,kamba,11.8486,3.6576,24.01,12,50,3.84,NG,1707795524
48,trairi,-3.2778,-39.2689,26.11,86,86,3.79,BR,1707795525
49,port elizabeth,-33.918,25.5701,20.16,91,20,9.77,ZA,1707795525
50,puerto baquerizo moreno,-0.9,-89.6,26.45,85,20,4.09,EC,1707795526
51,puerto ayora,-0.7393,-90.3518,26.97,97,46,0.89,EC,1707795526
52,zapolyarnyy,69.4154,30.8136,-17.4,98,45,4.03,RU,1707795527
53,nuku'alofa,-21.1333,-175.2,28.19,89,100,6.69,TO,1707795527
54,tazovsky,67.4667,78.7,-39.76,100,35,0.87,RU,1707795528
55,bardai,11.65,7.2333,20.48,11,0,3.99,NG,1707795529
56,veraval,20.9,70.3667,22.77,23,100,4.44,IN,1707795529
57,songea,-10.6833,35.65,18.05,97,100,0.33,TZ,1707795530
58,papatowai,-46.5619,169.4708,21.83,50,88,1.15,NZ,1707795530
59,weno,7.4515,151.8468,29.97,66,40,6.69,FM,1707795531
60,albany,42.6001,-73.9662,1.24,73,85,1.53,US,1707795531
61,vilyuchinsk,52.9306,158.4028,-7.85,64,5,1.82,RU,1707795532
62,blackmans bay,-43.0167,147.3167,20.41,73,60,0.89,AU,1707795532
63,jiwani,25.05,61.7417,20.48,73,99,2.85,PK,1707795533
64,bilibino,68.0546,166.4372,-35.1,98,92,0.53,RU,1707795533
65,pont rouge,48.8833,-72.0825,-8.84,98,97,1.34,CA,1707795534
66,san antonio de pale,-1.4014,5.6325,28.29,81,66,3.23,GQ,1707795535
67,ouagadougou,12.3642,-1.5383,21.07,30,0,1.54,BF,1707795535
68,torghay,49.6339,63.4981,-13.91,84,78,4.11,KZ,1707795536
69,chibougamau,49.9168,-74.3659,-11.21,85,100,1.54,CA,1707795536
70,port mathurin,-19.6833,63.4167,27.32,82,50,9.81,MU,1707795537
71,yellowknife,62.456,-114.3525,-10.71,85,100,0.0,CA,1707795426
72,whitehorse,60.7161,-135.0538,-3.57,68,100,1.03,CA,1707795538
73,wailua homesteads,22.0669,-159.378,25.44,68,0,4.12,US,1707795538
74,pago pago,-14.2781,-170.7025,28.55,94,75,2.06,AS,1707795539
75,mount gambier,-37.8333,140.7667,22.84,51,34,7.18,AU,1707795539
76,kapa'a,22.0752,-159.319,26.18,67,0,4.12,US,1707795540
77,chinsali,-10.5414,32.0816,17.14,98,100,1.52,ZM,1707795541
78,bayanhongor,46.7167,100.1167,-18.86,77,29,0.92,MN,1707795541
79,banda aceh,5.5577,95.3222,29.66,64,34,6.8,ID,1707795542
80,dzialdowo,53.2396,20.17,2.28,96,100,6.64,PL,1707795542
81,kyabe,9.4515,18.9449,25.45,15,67,2.31,TD,1707795543
82,port lincoln,-34.7333,135.8667,21.83,60,4,8.67,AU,1707795544
83,natal,-5.795,-35.2094,26.36,94,40,3.09,BR,1707795419
84,auce,56.4598,22.9017,1.41,99,100,3.15,LV,1707795545
85,mil'kovo,55.6078,37.7956,-3.66,95,100,3.69,RU,1707795546
86,hadibu,12.65,54.0333,25.4,73,36,4.99,YE,1707795546
87,portland,45.5234,-122.6762,8.65,87,20,1.34,US,1707795003
88,carnarvon,-24.8667,113.6333,24.86,82,0,7.68,AU,1707795547
89,tralee,52.2704,-9.7026,5.03,90,92,2.28,IE,1707795548
90,fasa,28.9383,53.6482,1.58,64,0,2.06,IR,1707795549
91,la passe,45.5549,-0.8967,5.55,95,100,3.38,FR,1707795549
92,sorong,-0.8833,131.25,27.97,77,64,6.9,ID,1707795550
93,tatarka,44.9589,41.9517,6.9,52,97,1.47,RU,1707795550
94,iqaluit,63.7506,-68.5145,-25.15,70,100,2.06,CA,1707795551
95,west island,-12.1568,96.8225,29.99,70,40,5.14,CC,1707795551
96,watampone,-4.5386,120.3279,26.0,86,100,1.73,ID,1707795552
97,tarinkot,32.6268,65.8733,8.56,33,0,2.03,AF,1707795553
98,along,28.1667,94.7667,19.62,38,75,1.3,IN,1707795554
99,kalymnos,36.95,26.9833,14.74,77,20,2.06,GR,1707795554
100,kosciusko,33.0576,-89.5876,5.79,88,100,4.86,US,1707795556
101,heyuan,23.7333,114.6833,21.86,43,0,1.77,CN,1707795556
102,bisauli,28.3167,78.9333,17.8,41,100,1.12,IN,1707795557
103,borogontsy,62.6683,131.1683,-26.27,93,100,2.02,RU,1707795558
104,cabo san lucas,22.8909,-109.9124,19.86,71,0,2.57,MX,1707795558
105,college,64.8569,-147.8028,-5.31,86,75,3.6,US,1707795559
106,olonkinbyen,70.9221,-8.7187,-1.34,98,100,8.21,SJ,1707795559
107,gejiu,23.306,103.1635,14.9,50,1,3.55,CN,1707795560
108,ampanihy,-24.7,44.75,23.78,81,95,3.12,MG,1707795561
109,ndelele,4.0333,14.9333,20.95,32,97,0.29,CM,1707795561
110,georgetown,5.4112,100.3354,32.75,57,20,2.57,MY,1707795562
111,udachny,66.4167,112.4,-30.82,93,100,5.4,RU,1707795562
112,nantucket,41.2835,-70.0995,2.79,86,40,0.0,US,1707795563
113,bodaybo,57.8506,114.1933,-12.72,82,100,5.03,RU,1707795563
114,lubango,-14.9172,13.4925,16.2,95,100,1.99,AO,1707795563
115,bengkulu,-3.8004,102.2655,30.8,61,70,2.54,ID,1707795564
116,taulaga,-11.0553,-171.0883,27.7,87,100,8.72,AS,1707795565
117,mahajanga,-15.7167,46.3167,25.01,94,40,3.09,MG,1707795566
118,ambahta,29.85,77.3333,18.28,31,100,1.44,IN,1707795566
119,amasra,41.7463,32.3863,11.96,69,100,2.98,TR,1707795567
120,barra do corda,-5.5,-45.25,23.12,91,39,0.34,BR,1707795567
